"","x"
"1",4.3415014039927e-05
"2",0
"3",0
"4",0
"5",0
"6",0
"7",0
"8",0
"9",0
"10",0
"11",0
"12",0
"13",0
"14",0
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
"22",0
"23",0
"24",0
"25",0
"26",0
"27",0
"28",0
"29",0
"30",0.000380157500543987
"31",0.000586852920451575
"32",0.000742970243993279
"33",0.000548392357564986
"34",0.000382830297595227
"35",0.000269156636621748
"36",0.00029833512669164
"37",0.000278459531784958
"38",0.0002697547122813
"39",0.000250448187331553
"40",0.000173037580270319
"41",0.000174938552766069
"42",0.00021217845153032
"43",0.000181179456462233
"44",0.00010859092183868
"45",0.0105065768294657
"46",0.00994997719271107
"47",0.00881885370859792
"48",0.00813286447062178
"49",0.00712115074617437
"50",0.0062473607827338
"51",0.00515379515385817
"52",0.00408306584376494
"53",0.00394921863627384
"54",0.00442969786547831
"55",0.00493771815619448
"56",0.00485019689332844
"57",0.00457878959370639
"58",0.00428562158068979
"59",0.00483246031197537
"60",0.00523197529889641
"61",0.00461859562664169
"62",0.00529216840417324
"63",0.00589262904518284
"64",0.00843736120829897
"65",0.00885683171838958
"66",0.00876909883908306
"67",0.00841438529013971
"68",0.00565298360217836
"69",0.00532430402531725
"70",0.00538002780444868
"71",0.00489074300129633
"72",0.00392122710993814
"73",0.00366414633943313
"74",0.00358429913300529
"75",0.00324892464048709
"76",0.00327220082231894
"77",0.00349392652012792
"78",0.00323273916305566
"79",0.00233877757448009
"80",0.00132743394775769
"81",0.000883097718231141
"82",0.000836638243694177
"83",0.000586315317084307
"84",0.000571141417249899
"85",0.00158590749726384
"86",0.00145242073139729
"87",0.000757592021446096
"88",0.000786093263170695
"89",0.00108885999210306
"90",0.00110829325564754
"91",0.000842283510170239
"92",0.000663982153715659
"93",0.000641414609952706
"94",0.000728872952444615
"95",0.000883518548703055
"96",0.000804996936367375
"97",0.000799137452843768
"98",0.000801901762731427
"99",0.000832870906585237
"100",0.00146451528486025
"101",0.0012500067297514
"102",0.00457336845473577
"103",0.00419995152128827
"104",0.00388495848856307
"105",0.00344846573702995
"106",0.00300172666335807
"107",0.00370998740861839
"108",0.00417014783919167
"109",0.00519245921649847
"110",0.00620814233809508
"111",0.00659590513940422
"112",0.00678843350152125
"113",0.00813164740983674
"114",0.00873556088297966
"115",0.0079577629783294
"116",0.00742759966931428
"117",0.00647591652440105
"118",0.00533343969322253
"119",0.00442388668162486
"120",0.00373138362924119
"121",0.00315929405435378
"122",0.00311727389312111
"123",0.0031418410442785
"124",0.00307733493268803
"125",0.00320256485825943
"126",0.00315477060038616
"127",0.00302842064916142
"128",0.00360594867621644
"129",0.00404178691258905
"130",0.00476910561522959
"131",0.00529775322592685
"132",0.00566471060011742
"133",0.00630015256695904
"134",0.00644002620118966
"135",0.00623436245730569
"136",0.00614178211976135
"137",0.00606823879306306
"138",0.00583804479419681
"139",0.00546071566701378
"140",0.00516604837144852
"141",0.00505685502268238
"142",0.00488676353829787
"143",0.00390300155338019
"144",0.00350169089732921
"145",0.00293082154623858
"146",0.00208665185639545
"147",0.00155035120563207
"148",0.00132426230615168
"149",0.00108248481340834
"150",0.000809906395917603
"151",0.000652705997516767
"152",0.000555959399387462
"153",0.000485043228294679
"154",0.000557291642435565
"155",0.000518650477116522
"156",0.000371930158191147
"157",0.000354974141245412
"158",0.000377575794402341
"159",0.000379256642345283
"160",0.00037815956945364
"161",0.000369096108572164
"162",0.000324064188364281
"163",0.00031767803231475
"164",0.000307314871786146
"165",0.000325449173371073
"166",0.000348460862786504
"167",0.000390632088794418
"168",0.00043047095576354
"169",0.000410798110824562
"170",0.000385757913843099
"171",0.000366630555628022
"172",0.000391617738610961
"173",0.00041029735345488
"174",0.000417752727799203
"175",0.000412082544305359
"176",0.000437458948154723
"177",0.000463269208318184
"178",0.00042081516985959
"179",0.000433185086117338
"180",0.000495153878811272
"181",0.000495214207466232
"182",0.000522512440707668
"183",0.000526865246145758
"184",0.000489001379358589
"185",0.000453640607482542
"186",0.000434398705492001
"187",0.000458898727922485
"188",0.000366028635782167
"189",0.000330157663779307
"190",0.000344734454057805
"191",0.000606905378525813
"192",0.000721953058843927
"193",0.000699005483731918
"194",0.000634657252799875
"195",0.000709752447607293
"196",0.00071090407732155
"197",0.000680875131808478
"198",0.000631036030698473
"199",0.000608731745123547
"200",0.000552603512054439
"201",0.000429886655093914
"202",0.000781290914068089
"203",0.000773606772271784
"204",0.000967875007906516
"205",0.00172109822663435
"206",0.00151493303766193
"207",0.00132982273877258
"208",0.00111020116740124
"209",0.00122877549675415
"210",0.00125850551333551
"211",0.00105722101824179
"212",0.00091396918624409
"213",0.000951727178102213
"214",0.000989464710606569
"215",0.0010631973779156
"216",0.00153484450547947
"217",0.00186783957645864
"218",0.00212138649416194
"219",0.00234316007458091
"220",0.0024463865926263
"221",0.00241252573452311
"222",0.00227476111849156
"223",0.00164806364734638
"224",0.00167464501929915
"225",0.00199946617531033
"226",0.00239205899657913
"227",0.0024804085094815
"228",0.00249696085094908
"229",0.000513125485553378
"230",0.00020035000521601
"231",0.000241532480328321
"232",0.000446950204629704
"233",0.00146771809939872
"234",0.00134049344288301
"235",0.000347930026125431
"236",0.000367509479322625
"237",0.000507881744436278
"238",0.000628339203789241
"239",0.000699643735612487
"240",0.000762327879511915
"241",0.000979023074367258
"242",0.00098144033291625
"243",0.000984270334479342
"244",0.000952339559436077
"245",0.000867117717369914
"246",0.000720440270257194
"247",0.000820303785595389
"248",0.00237877833127209
"249",0.00224232327742502
"250",0.00197044369573773
"251",0.00177946784110805
"252",0.0016027028844976
"253",0.00131993700429545
"254",0.00121144799429185
"255",0.00295482775640477
"256",0.00248976371229825
"257",0.00201479009251915
"258",0.00176177067278216
"259",0.00189034630413298
"260",0.00210997417301617
"261",0.00257956970108297
"262",0.00257720673469264
"263",0.00279750415567515
"264",0.00300570267834144
"265",0.00306986978290247
"266",0.00317253916511806
"267",0.00330145081965039
"268",0.0033205209517605
"269",0.00332981810874222
"270",0.00335028751767197
"271",0.00338395495016786
"272",0.00354772892998434
"273",0.00351897600155626
"274",0.00336730381674522
"275",0.00305803141978256
"276",0.00279846286482699
"277",0.00265935160552211
"278",0.00262745493416916
"279",0.00228139129653515
"280",0.00206130790290671
"281",0.00201383093275254
"282",0.00221231562526691
"283",0.00287543983793315
"284",0.00153608986817666
"285",0.0016591774388276
"286",0.00180993631525384
"287",0.00204612746661104
"288",0.00227066521086383
"289",0.00240271581471974
"290",0.00243938284083811
"291",0.00137882367559528
"292",0.00143442135537808
"293",0.00189441453698957
"294",0.00204946849299559
"295",0.00193780085254913
"296",0.00219502928786774
"297",0.00234360006657475
"298",0.00258936422105482
"299",0.00274759641007205
"300",0.00262100687697753
"301",0.00280832578902623
"302",0.00314032406988685
"303",0.00327714151226866
"304",0.00295108189043791
"305",0.0026542930514547
"306",0.0025484229874938
"307",0.0023198707140436
"308",0.00206110878590038
"309",0.00201908928386318
"310",0.00193121402131036
"311",0.00215082939441746
"312",0.00233654123779103
"313",0.00251504333462982
"314",0.00256686895769798
"315",0.00269602708541505
"316",0.0028881153047593
"317",0.00290599426666349
"318",0.00290911026414087
"319",0.0029215045561729
"320",0.00316827772939321
"321",0.00335787852518532
"322",0.00355768926846123
"323",0.00345595743229343
"324",0.00350714689643217
"325",0.00362187783710344
"326",0.0037251959780904
"327",0.00395234098118225
"328",0.00422613192521004
"329",0.00436933877057222
"330",0.00293028173931764
"331",0.00289347231669024
"332",0.00269646599497542
"333",0.00136801639243433
"334",0.000884147763361542
"335",0.000892828782042221
"336",0.00162533877683579
"337",0.00415921773514516
"338",0.00369803929947798
"339",0.00287635240868989
"340",0.00228964997103309
"341",0.00196760467088208
"342",0.00210378215541696
"343",0.00224431371221911
"344",0.00345498978316239
"345",0.00370747967283069
"346",0.00221297574578505
"347",0.00213720518687255
"348",0.00215804741158077
"349",0.00234692858677144
"350",0.002721883169581
"351",0.00399051293330999
"352",0.00413999634317586
"353",0.00471003927357583
"354",0.00369568553753563
"355",0.00256603976254954
"356",0.00170473972184315
"357",0.00155808662661761
"358",0.00165380209365373
"359",0.00277035152510352
"360",0.00582071293739528
"361",0.00513084490512616
"362",0.00472750764435359
"363",0.0045946251624901
"364",0.00150189261544775
"365",0.00117035023322154
"366",0.00232463930217996
"367",0.00269628883920314
"368",0.00273277453102028
"369",0.00315287307155721
"370",0.00412999911038703
"371",0.0036236335842561
"372",0.00359107944467008
"373",0.00475603237360955
"374",0.00674008829071227
"375",0.00736183352023134
"376",0.00727439617825298
"377",0.00731933041478117
"378",0.00665464836950258
"379",0.00602818269881678
"380",0.0060915948741862
"381",0.00666551592547371
"382",0.00713185418139306
"383",0.00695933359107093
"384",0.00644325884360208
"385",0.00626599319018784
"386",0.0081037445805997
"387",0.00919553676537554
"388",0.00933740182629295
"389",0.0104981750926894
"390",0.0113799776813145
"391",0.0121314203518841
"392",0.0114064096177769
"393",0.011231255215074
"394",0.0110059740395096
"395",0.0106707167584559
"396",0.0107506336401102
"397",0.0106017632360111
"398",0.00612118737334566
"399",0.00794131193561343
"400",0.00759863231490943
"401",0.00678131688770867
"402",0.00654548509296538
"403",0.00662049359134353
"404",0.00705932669750586
"405",0.0066736502087974
"406",0.00663384860191962
"407",0.00598843618428468
"408",0.00624527351560189
"409",0.00733500560436817
"410",0.00726613467836701
"411",0.00863404137078838
"412",0.00776690564968208
"413",0.0085814562663401
"414",0.00825925328822685
"415",0.00787535218299684
"416",0.00694691163535321
"417",0.00719000566712324
"418",0.00763625836023396
"419",0.00747162060660234
"420",0.00627512907688454
"421",0.00538493974461807
"422",0.00537749396165466
"423",0.00530078364028908
"424",0.00519008327513748
"425",0.00466130566379697
"426",0.0040838975642562
"427",0.00351366825085386
"428",0.00308549395337909
"429",0.00317461849783629
"430",0.00349199262293265
"431",0.00384909229941111
"432",0.00422347753534402
"433",0.00465790835400193
"434",0.00501482648677398
"435",0.0052013006465994
"436",0.00550154136957481
"437",0.00508495207924131
"438",0.00724107214973835
"439",0.00777703859199674
"440",0.00767931963059199
"441",0.0075342460926201
"442",0.00732922764617627
"443",0.0070845524730544
"444",0.00532614162298684
"445",0.00466542788384117
"446",0.00366061093129055
"447",0.00305981079252715
"448",0.00292482089604329
"449",0.00299613982746949
"450",0.00255583115561808
"451",0.00270808509153508
"452",0.00164688307630567
"453",0.000916573793831366
"454",0.00104200713046954
"455",0.00120395842574872
"456",0.000955748511122012
"457",0.000808995507548094
"458",0.000827085564499952
"459",0.000866271402538255
"460",0.000764841425028862
"461",0.000664470017685992
"462",0.000756489156904738
"463",0.000771767327582329
"464",0.000740868469805367
"465",0.000607904271801463
"466",0.00111818235157402
"467",0.00135553838665148
"468",0.0023116350391077
"469",0.00195249683325749
"470",0.00166756687427549
"471",0.0014092174704502
"472",0.00101097439117814
"473",0.000938989987375516
"474",0.000889380127444994
"475",0.0012068372905254
"476",0.00141232260272661
"477",0.00150625983955677
"478",0.00167408972871252
"479",0.0016527193571525
"480",0.00181007772058162
"481",0.00175324443161951
"482",0.00177688753777283
"483",0.00198633448430152
"484",0.00206584528895692
"485",0.00197228470658883
"486",0.00186970847230894
"487",0.00210056142270643
"488",0.00233572097009416
"489",0.00248261435738217
"490",0.00302139795535006
"491",0.00341498774207383
"492",0.00379311226078605
"493",0.00411468493505518
"494",0.00406538693666969
"495",0.00418069658042641
"496",0.0041851743031952
"497",0.00422228583537321
"498",0.00432432438676922
"499",0.00428237683562982
"500",0.00432841712822385
"501",0.00460347269164141
"502",0.00447641129078191
"503",0.0042481893170947
"504",0.00383477362711471
"505",0.00326464673751381
"506",0.00255950858247034
"507",0.00295035256373732
"508",0.0025553339106662
"509",0.00240255891819385
"510",0.00223191836049053
"511",0.0019571916052229
"512",0.00170017628720742
"513",0.00124989122582708
"514",0.00114454446003065
"515",0.00137811250060804
"516",0.00126618784765031
"517",0.00125350739930985
"518",0.00119235647655969
"519",0.00111549367478803
"520",0.00109629775954379
"521",0.00102583842749204
"522",0.00091011567933319
"523",0.000626531420110155
"524",0.000625707552996846
"525",0.000600336773521004
"526",0.00060027728633727
"527",0.000576459181448996
"528",0.000538975278950971
"529",0.00058594196960926
"530",0.000582743819570242
"531",0.000587241706446973
"532",0.000658953609671276
"533",0.000784948292209209
"534",0.00107207284912536
"535",0.00129121422732537
"536",0.00144433220327633
"537",0.00151444318971106
"538",0.00153280623545693
"539",0.00149176039197962
"540",0.00143082460075616
"541",0.00144561723851355
"542",0.00153885951326094
"543",0.00159180362330869
"544",0.00158285013662296
"545",0.00165177113800863
"546",0.00166543930296581
"547",0.00168787867392572
"548",0.00168656551770308
"549",0.00162531147029055
"550",0.00145600160943393
"551",0.00127230661262046
"552",0.00098285961853628
"553",0.000858751601049756
"554",0.000671097968604872
"555",0.000678988686163673
"556",0.000746633629781668
"557",0.000500024454976544
"558",0.000334659478357424
"559",0.000389721863324199
"560",0.000523502783517316
"561",0.000653994782657707
"562",0.000645676077297264
"563",0.000615559537975763
"564",0.000578021755982538
"565",0.000554961433973156
"566",0.000651964407578642
"567",0.000760120715560753
"568",0.000872094780043575
"569",0.00100535734603713
"570",0.00109651435704528
"571",0.00112565972722634
"572",0.00115284700642782
"573",0.000949236373158802
"574",0.000936478445728861
"575",0.00095110571683843
"576",0.000948499229988187
"577",0.000931276840258177
"578",0.000864658835717735
"579",0.000770448173932903
"580",0.000956070602041392
"581",0.000546033194796514
"582",0.000417579617100317
"583",0.000384102306294043
"584",0.00052184934801891
"585",0.000473046483600026
"586",0.000596967751341326
"587",0.00068093068992281
"588",0.000721601034211705
"589",0.00073173677211924
"590",0.000714301786357119
"591",0.000601162840761615
"592",0.000752266824372017
"593",0.000787043302680979
"594",0.000771427941816061
"595",0.00076142303263782
"596",0.000643014615488102
"597",0.000655489516685481
"598",0.000654632771685648
"599",0.000554117149613287
"600",0.000553368373101937
"601",0.000496836158195291
"602",0.000492298388282242
"603",0.00052451260386055
"604",0.000535588041223778
"605",0.000364032253363233
"606",0.000313446814659391
"607",0.000272578228839082
"608",0.000249609360712943
"609",0.000192743041701693
"610",0.000148128246645673
"611",0.000149703876645813
"612",0.000142854962447148
"613",0.000134692245174151
"614",0.00015737805379501
"615",0.000221864210998901
"616",0.000265193985118706
"617",0.000315975188943884
"618",0.0004826206352051
"619",0.000579151111514631
"620",0.000648766562551084
"621",0.000669549438823025
"622",0.000669921098941262
"623",0.000669005851537507
"624",0.000684650811211496
"625",0.000685051266242853
"626",0.000691574836499731
"627",0.000677216723690033
"628",0.000712785719274467
"629",0.000720629357433
"630",0.000708512721553811
"631",0.000708230785348762
"632",0.000705155453273543
"633",0.000742174333699497
"634",0.00082328856273417
"635",0.00083361745027144
"636",0.000868866070087515
"637",0.000786497874085357
"638",0.000794053100531711
"639",0.000822088625727746
"640",0.000766077417489575
"641",0.000742959762412676
"642",0.000791551111493205
"643",0.00104646553887844
"644",0.00160511507589522
"645",0.00187147897737527
"646",0.00204531944559649
"647",0.00208290428165103
"648",0.00179926071138481
"649",0.00155314006922425
"650",0.00155154357641407
"651",0.00165142278550179
"652",0.00162109762822304
"653",0.00155071813605567
"654",0.00145882481687976
"655",0.00145334956418652
"656",0.00143079392744061
"657",0.00136056125803885
"658",0.00137061926448767
"659",0.00138772977258317
"660",0.00145897193287581
"661",0.00158839044114389
"662",0.00160792733256454
"663",0.00161263997172967
"664",0.00162913420977473
"665",0.00166448066801772
"666",0.00192535942440708
"667",0.00419120061144784
"668",0.00504500910659678
"669",0.00519355627968277
"670",0.00390636565795499
"671",0.00440032200260643
"672",0.00547221119923569
"673",0.006062190181372
"674",0.0065659381619928
"675",0.00628275760011543
"676",0.00618105065650199
"677",0.00626095499310497
"678",0.00560726054386107
"679",0.00456911627114109
"680",0.00614726529284493
"681",0.00733610016462094
"682",0.00769075830890797
"683",0.00738229558979331
"684",0.00649801241137549
"685",0.00622317419582075
"686",0.00636778553173656
"687",0.0065157535293433
"688",0.00687723544698504
"689",0.00695192158620528
"690",0.00680787454708442
"691",0.00680041982929258
"692",0.00629924518827341
"693",0.00417247454378344
"694",0.00583108219389694
"695",0.00740907475588293
"696",0.00818243975287958
"697",0.00858696216888599
"698",0.00834438926970882
"699",0.00803611003575411
"700",0.00639479518740604
"701",0.00408835990524847
"702",0.00301042745248781
"703",0.0052849108591001
"704",0.00716548699443154
"705",0.00675764971871162
"706",0.00633732147394883
"707",0.00636272873256194
"708",0.00445811391332462
"709",0.00210223430944134
"710",0.00178616725677605
"711",0.00208197160697776
"712",0.00179286979606141
"713",0.00102050435478596
"714",0.000983377218651382
"715",0.00103192264009366
"716",0.00101025301100766
"717",0.000929784241452736
"718",0.00135079208949329
"719",0.00150936135347168
"720",0.00152161995067768
"721",0.0012951603261725
"722",0.00118339279598856
"723",0.00111727340852286
"724",0.00123586227363737
"725",0.00195941970420821
